"Country","Year","Males","Females","Avg"
"ALBANIA",3,4.7,3.3,4
"ANTIGUA AND BARBUDA",95,0,0,0
"ARGENTINA",8,12.6,3,7.8
"ARMENIA",8,2.8,1.1,1.95
"AUSTRALIA",6,12.8,3.6,8.2
"AUSTRIA",9,23.8,7.1,15.45
"AZERBAIJAN",7,1,0.3,0.65
"BAHAMAS",5,1.9,0.6,1.25
"BAHRAIN",6,4,3.5,3.75
"BARBADOS",6,7.3,0,3.65
"BELARUS",7,48.7,8.8,28.75
"BELGIUM",5,28.8,10.3,19.55
"BELIZE",8,6.6,0.7,3.65
"BOSNIA AND HERZEGOVINA",91,20.3,3.3,11.8
"BRAZIL",8,7.7,2,4.85
"BULGARIA",8,18.8,6.2,12.5
"CANADA",4,17.3,5.4,11.35
"CHILE",7,18.2,4.2,11.2
"CHINA (Selected rural & urban areas)",99,13,14.8,13.9
"CHINA (Hong Kong SAR)",9,19,10.7,14.85
"COLOMBIA",7,7.9,2,4.95
"COSTA RICA",9,10.2,1.9,6.05
"CROATIA",9,28.9,7.5,18.2
"CUBA",8,19,5.5,12.25
"CYPRUS",8,7.4,1.7,4.55
"CZECH REPUBLIC",9,23.9,4.4,14.15
"DENMARK",6,17.5,6.4,11.95
"DOMINICAN REPUBLIC",5,3.9,0.7,2.3
"ECUADOR",9,10.5,3.6,7.05
"EGYPT",9,0.1,0,0.05
"EL SALVADOR",8,12.9,3.6,8.25
"ESTONIA",8,30.6,7.3,18.95
"FINLAND",9,29,10,19.5
"FRANCE",7,24.7,8.5,16.6
"GEORGIA",9,7.1,1.7,4.4
"GERMANY",6,17.9,6,11.95
"GREECE",9,6,1,3.5
"GRENADA",8,0,0,0
"GUATEMALA",8,5.6,1.7,3.65
"GUYANA",6,39,13.4,26.2
"HAITI",3,0,0,0
"HONDURAS",78,0,0,0
"HUNGARY",9,40,10.6,25.3
"ICELAND",8,16.5,7,11.75
"INDIA",9,13,7.8,10.4
"IRAN",91,0.3,0.1,0.2
"IRELAND",9,19,4.7,11.85
"ISRAEL",7,7,1.5,4.25
"ITALY",7,10,2.8,6.4
"JAMAICA",90,0.3,0,0.15
"JAPAN",9,36.2,13.2,24.7
"JORDAN",8,0.2,0,0.1
"KAZAKHSTAN",8,43,9.4,26.2
"KUWAIT",9,1.9,1.7,1.8
"KYRGYZSTAN",9,14.1,3.6,8.85
"LATVIA",9,40,8.2,24.1
"LITHUANIA",9,61.3,10.4,35.85
"LUXEMBOURG",8,16.1,3.2,9.65
"MALDIVES",5,0.7,0,0.35
"MALTA",8,5.9,1,3.45
"MAURITIUS",8,11.8,1.9,6.85
"MEXICO",8,7,1.5,4.25
"NETHERLANDS",9,13.1,5.5,9.3
"NEW ZEALAND",7,18.1,5.5,11.8
"NICARAGUA",6,9,2.6,5.8
"NORWAY",9,17.3,6.5,11.9
"PANAMA",8,9,1.9,5.45
"PARAGUAY",8,5.1,2,3.55
"PERU",7,1.9,1,1.45
"PHILIPPINES",93,2.5,1.7,2.1
"POLAND",8,26.4,4.1,15.25
"PORTUGAL",9,15.6,4,9.8
"PUERTO RICO",5,13.2,2,7.6
"REPUBLIC OF KOREA",9,39.9,22.1,31
"REPUBLIC OF MOLDOVA",8,30.1,5.6,17.85
"ROMANIA",9,21,3.5,12.25
"RUSSIAN FEDERATION",6,53.9,9.5,31.7
"SAINT KITTS AND NEVIS",95,0,0,0
"SAINT LUCIA",5,4.9,0,2.45
"SAINT VINCENT AND THE GRENADINES",8,5.4,1.9,3.65
"SAO TOME AND PRINCIPE",87,0,1.8,0.9
"SERBIA",9,28.1,10,19.05
"SEYCHELLES",8,8.9,0,4.45
"SINGAPORE",6,12.9,7.7,10.3
"SLOVAKIA",5,22.3,3.4,12.85
"SLOVENIA",9,34.6,9.4,22
"SOUTH AFRICA",7,1.4,0.4,0.9
"SPAIN",8,11.9,3.4,7.65
"SRI LANKA",91,44.6,16.8,30.7
"SURINAME",5,23.9,4.8,14.35
"SWEDEN",8,18.7,6.8,12.75
"SWITZERLAND",7,24.8,11.4,18.1
"SYRIAN ARAB REPUBLIC",85,0.2,0,0.1
"TAJIKISTAN",1,2.9,2.3,2.6
"THAILAND",2,12,3.8,7.9
"TFYR MACEDONIA",3,9.5,4,6.75
"TRINIDAD AND TOBAGO",6,17.9,3.8,10.85
"TURKMENISTAN",98,13.8,3.5,8.65
"UKRAINE",9,37.8,7,22.4
"UNITED KINGDOM",9,10.9,3,6.95
"UNITED STATES OF AMERICA",5,17.7,4.5,11.1
"URUGUAY",4,26,6.3,16.15
"UZBEKISTAN",5,7,2.3,4.65
"VENEZUELA",7,5.3,1.2,3.25
"ZIMBABWE",90,10.6,5.2,7.9
