Country,Year,Males,Females
ALBANIA,3,4.7,3.3
ANTIGUA AND BARBUDA,95,0,0
ARGENTINA,8,12.6,3
ARMENIA,8,2.8,1.1
AUSTRALIA,6,12.8,3.6
AUSTRIA,9,23.8,7.1
AZERBAIJAN,7,1,0.3
BAHAMAS,5,1.9,0.6
BAHRAIN,6,4,3.5
BARBADOS,6,7.3,0
BELARUS,7,48.7,8.8
BELGIUM,5,28.8,10.3
BELIZE,8,6.6,0.7
BOSNIA AND HERZEGOVINA,91,20.3,3.3
BRAZIL,8,7.7,2
BULGARIA,8,18.8,6.2
CANADA,4,17.3,5.4
CHILE,7,18.2,4.2
CHINA (Selected rural & urban areas),99,13,14.8
CHINA (Hong Kong SAR),9,19,10.7
COLOMBIA,7,7.9,2
COSTA RICA,9,10.2,1.9
CROATIA,9,28.9,7.5
CUBA,8,19,5.5
CYPRUS,8,7.4,1.7
CZECH REPUBLIC,9,23.9,4.4
DENMARK,6,17.5,6.4
DOMINICAN REPUBLIC,5,3.9,0.7
ECUADOR,9,10.5,3.6
EGYPT,9,0.1,0
EL SALVADOR,8,12.9,3.6
ESTONIA,8,30.6,7.3
FINLAND,9,29,10
FRANCE,7,24.7,8.5
GEORGIA,9,7.1,1.7
GERMANY,6,17.9,6
GREECE,9,6,1
GRENADA,8,0,0
GUATEMALA,8,5.6,1.7
GUYANA,6,39,13.4
HAITI,3,0,0
HONDURAS,78,0,0
HUNGARY,9,40,10.6
ICELAND,8,16.5,7
INDIA,9,13,7.8
IRAN,91,0.3,0.1
IRELAND,9,19,4.7
ISRAEL,7,7,1.5
ITALY,7,10,2.8
JAMAICA,90,0.3,0
JAPAN,9,36.2,13.2
JORDAN,8,0.2,0
KAZAKHSTAN,8,43,9.4
KUWAIT,9,1.9,1.7
KYRGYZSTAN,9,14.1,3.6
LATVIA,9,40,8.2
LITHUANIA,9,61.3,10.4
LUXEMBOURG,8,16.1,3.2
MALDIVES,5,0.7,0
MALTA,8,5.9,1
MAURITIUS,8,11.8,1.9
MEXICO,8,7,1.5
NETHERLANDS,9,13.1,5.5
NEW ZEALAND,7,18.1,5.5
NICARAGUA,6,9,2.6
NORWAY,9,17.3,6.5
PANAMA,8,9,1.9
PARAGUAY,8,5.1,2
PERU,7,1.9,1
PHILIPPINES,93,2.5,1.7
POLAND,8,26.4,4.1
PORTUGAL,9,15.6,4
PUERTO RICO,5,13.2,2
REPUBLIC OF KOREA,9,39.9,22.1
REPUBLIC OF MOLDOVA,8,30.1,5.6
ROMANIA,9,21,3.5
RUSSIAN FEDERATION,6,53.9,9.5
SAINT KITTS AND NEVIS,95,0,0
SAINT LUCIA,5,4.9,0
SAINT VINCENT AND THE GRENADINES,8,5.4,1.9
SAO TOME AND PRINCIPE,87,0,1.8
SERBIA,9,28.1,10
SEYCHELLES,8,8.9,0
SINGAPORE,6,12.9,7.7
SLOVAKIA,5,22.3,3.4
SLOVENIA,9,34.6,9.4
SOUTH AFRICA,7,1.4,0.4
SPAIN,8,11.9,3.4
SRI LANKA,91,44.6,16.8
SURINAME,5,23.9,4.8
SWEDEN,8,18.7,6.8
SWITZERLAND,7,24.8,11.4
SYRIAN ARAB REPUBLIC,85,0.2,0
TAJIKISTAN,1,2.9,2.3
THAILAND,2,12,3.8
TFYR MACEDONIA,3,9.5,4
TRINIDAD AND TOBAGO,6,17.9,3.8
TURKMENISTAN,98,13.8,3.5
UKRAINE,9,37.8,7
UNITED KINGDOM,9,10.9,3
UNITED STATES OF AMERICA,5,17.7,4.5
URUGUAY,4,26,6.3
UZBEKISTAN,5,7,2.3
VENEZUELA,7,5.3,1.2
ZIMBABWE,90,10.6,5.2
